Date,Open,High,Low,Close,Adj_Close,Volume
1/30/2020,150.029999,150.509995,149.050003,150.360001,146.380508,6470600
1/31/2020,149.75,150,148.639999,148.869995,144.929947,8651700
2/3/2020,149.419998,150.490005,149.240005,150.169998,146.195541,5765200
2/4/2020,151.490005,152.75,151.199997,151.600006,147.587723,6541400
2/5/2020,151.720001,154.020004,151.309998,153.990005,149.914444,5979900
2/6/2020,154.25,154.5,152.740005,153.529999,149.466599,6201200
2/7/2020,153.339996,153.460007,151.550003,151.889999,147.870026,5700300
2/10/2020,151.679993,151.910004,150.889999,151.860001,147.840805,4835600
2/11/2020,152.289993,152.380005,151.539993,151.990005,147.967392,3715300
2/12/2020,151.869995,152.149994,150.919998,151.089996,147.091187,5166800
2/13/2020,150.160004,151.039993,149.880005,150.089996,146.117661,5480200
2/14/2020,150.559998,150.639999,149.149994,150.130005,146.156601,5716300
2/18/2020,150.470001,150.740005,149.059998,149.139999,145.192795,7230700
2/19/2020,149.210007,149.759995,148.580002,148.940002,144.998093,6115200
2/20/2020,148.610001,149.380005,147.399994,148.369995,144.443192,7464700
2/21/2020,148.089996,150.240005,147.539993,149.929993,145.961884,7776800
2/24/2020,146.5,149,145.25,145.910004,142.954102,10588900
2/25/2020,145.990005,146.75,143.830002,144.649994,141.719604,10529000
2/26/2020,145.350006,146.220001,143.589996,143.679993,140.769257,10093800
2/27/2020,142.559998,144.770004,138.949997,139.119995,136.301636,12566700
2/28/2020,135.360001,137.289993,130.820007,134.479996,131.755615,19825500
3/2/2020,134.779999,140.130005,134.009995,140.020004,137.183411,11508200
3/3/2020,140,140.990005,133.100006,135.589996,132.843155,13662500
3/4/2020,137.679993,143.639999,137.139999,143.479996,140.573303,10560500
3/5/2020,140.800003,142.679993,139.839996,142.009995,139.133087,11339200
3/6/2020,138.479996,143.009995,137.410004,142.029999,139.152679,12239100
3/9/2020,136.330002,139.679993,134.899994,136.440002,133.675934,13848600
3/10/2020,139.970001,141.949997,134.229996,141.639999,138.770584,12698100
3/11/2020,138.089996,138.75,131.5,131.800003,129.129944,17763400
3/12/2020,127.309998,133.759995,124.5,125.410004,122.869385,21539200
3/13/2020,129.320007,134.919998,124.650002,134.289993,131.569473,20084200
3/16/2020,123.57,133.759995,122.43,127.129997,124.554535,18877900
3/17/2020,128.550003,136.770004,127.809998,136.589996,133.822876,18911800
3/18/2020,131.020004,135.669998,128.710007,134.960007,132.225922,17521100
3/19/2020,134.990005,134.990005,126.150002,127.050003,124.476158,18482300
3/20/2020,126.830002,127.440002,118.129997,119.889999,117.461205,19785100
3/23/2020,117,118.559998,109.160004,111.139999,108.888474,20815200
3/24/2020,118.760002,119.650002,113.860001,119.18,116.765602,17604800
3/25/2020,118.910004,123.959999,116.699997,119.400002,116.981133,13986100
3/26/2020,120.57,127.099998,120.379997,126.57,124.005875,15066800
3/27/2020,121.650002,127.620003,120.580002,123.160004,120.664963,12133200
3/30/2020,128.460007,133.990005,127.5,133.009995,130.315414,21754000
3/31/2020,134.990005,135.710007,130.050003,131.130005,128.473511,15746100
4/1/2020,127.699997,130.229996,125.5,128.809998,126.2005,12606100
4/2/2020,129.119995,134,127.220001,133.149994,130.452576,11594500
4/3/2020,132.380005,134.789993,131.580002,134.169998,131.45192,10071200
4/6/2020,137.009995,140.970001,135.539993,139.759995,136.928665,14994400
4/7/2020,139.860001,142.029999,137.259995,137.479996,134.694855,11567100
4/8/2020,137.75,144.130005,137.300003,143.259995,140.357758,10758200
4/9/2020,144.009995,145.419998,140.279999,141.229996,138.368896,11127200
4/13/2020,140,141.490005,137.839996,139.770004,136.938477,8153200
4/14/2020,145.419998,147.419998,144.050003,146.029999,143.07164,13838000
4/15/2020,145.550003,147.910004,143.539993,147.660004,144.66864,11962300
4/16/2020,148.309998,150.679993,146.440002,149.669998,146.637909,12181700
4/17/2020,151.990005,152.300003,149.600006,152.020004,148.940308,10920000
4/20/2020,150.929993,153,150.089996,151.669998,148.597397,12226200
4/21/2020,150.119995,151.639999,148.570007,149.679993,146.647705,9951100
4/22/2020,152.809998,155,151.729996,152.990005,149.890656,11518300
4/23/2020,154.25,157,153.699997,155.509995,152.359604,10665000
4/24/2020,155.570007,156.300003,153.639999,154.860001,151.722778,8654100
4/27/2020,154.809998,156.050003,154,154.289993,151.164322,8924000
4/28/2020,151.25,153.100006,150.699997,151.389999,148.323074,8558700
4/29/2020,151.380005,151.630005,149.160004,150.240005,147.196365,9285200
