Stock,Stability Coefficient (high),Variance (high),Stability Coefficient (close),Variance (close)
F,7.484946034882958,4.7202639199999945,7.602444492452799,4.765184426677269
TM,3.3586173824782777,137.6066141868254,3.3633023968846945,136.72539816206253
GM,5.4066303523772,29.537725802817544,5.480046179151242,29.638994283419596
HMC,3.7322218061006986,8.9911648183354,3.7704993379716383,9.079348732536374
TSLA,46.33944202052044,23417.44171803229,46.31998629984958,22437.08220543182
NIO,31.44512564544008,216.5679591460303,31.50122847580695,202.14445205515742
RACE,14.509678698539158,2454.5912398066353,14.502252330866082,2410.3709811059903
VWAGY,2.1956689708543466,4.269304580122091,2.2709228094311738,4.496309492693351
BTC-USD,38.288246037344415,37919349.35254928,37.9931686472961,35568841.25265589
ETH-USD,43.170857631662535,74682.18942182904,42.76907041895735,68513.11471058358
LTC,4.010750490456575,25.61352187629046,4.145973284532765,26.815124020923545
DOGE-USD,50.86582341965737,9.594275516730666e-06,41.75990402479391,5.978776687328575e-06
M,15.617271777461106,121.49903890742911,15.758257327503566,119.47292659642757
KSS,11.979290618450595,267.6175037968674,12.088308987020486,263.3539673127228
DDS,8.787162956247297,242.9144380607432,8.878661722991668,236.57975630236547
CPPRQ,33.19499570231439,11.004607412360887,33.40935764261879,10.607306282861655
TGT,12.721083228906778,1027.181202290875,12.713568633319817,1004.4829124675041
MSLH.L,11.679017364907304,27196.93920061628,11.685618405143662,26414.669462216138
SPOT,8.852465519985454,3555.6865690719987,8.788672283821864,3373.9730519312684
AAPL,18.45953513780774,787.7198509436862,18.348794917038408,762.5422798338375
SIRI,6.013414493944468,0.9289493158664521,6.0065369009185625,0.9055909943640708
TCEHY,12.293567492104446,233.32925980073404,12.263918341467363,228.66744743942738
AMZN,17.017541737465493,599317.8952293013,16.943801375171844,581604.873780118
AMC,20.056318790743877,90.09715344735652,20.354367633870353,89.22224386475456
RICK,13.089229388608274,59.58400602786484,13.109367949968558,57.32977567109164
GNUS,22.273730114687822,3.2382180610095346,22.36863400265667,3.034869163839424
SCHM,4.682379237313709,47.28639785529565,4.693957221803936,47.01682496979556
EES,4.970343967326619,21.885213048041223,5.021102460109356,22.025670274411592
IYH,5.490979146578234,814.0944654595752,5.474849004283647,800.60437591843
VWO,3.763302041575136,19.22342146304995,3.7870407610385866,19.284821290824915
SPY,5.692032740117211,1910.7699185774018,5.673282694288449,1879.1220749908957
ARKK,20.085345749453555,652.1945110964842,19.94622977465257,629.329632424188
AXP,7.526013677019468,413.4106312350431,7.526322658153374,405.8137470947715
COF,5.301360358613149,161.01275574772166,5.400113983298327,163.372138753238
C,6.577032202821286,130.29058141555709,6.665944190333601,130.93556293794572
V,11.671000722080878,2034.3667442045983,11.625825431248632,1983.9282946504281
DFS,6.509775595314107,154.87816953345373,6.607402980701587,156.1478394689498
WFC,7.813528289826721,110.8451964580865,7.916217698757325,111.58122407456406
PYPL,19.51290680089462,2618.274144980339,19.44969630209408,2538.281075814767
JNJ,3.362116386331266,159.74477489893317,3.3349206700537635,154.95841730725633
KO,3.1412440610750556,17.51829257898545,3.1357445980658447,17.22029682792283
PG,6.9662299466506346,389.3833711790827,6.923290931871179,379.17829802101073
CLX,6.95458062247317,899.0647405477624,6.8760106342944605,863.2257348342077
CPB,6.003091488379629,69.4081925763618,6.062361253965713,69.41371904553097
GIS,4.717818031921751,55.09776056340713,4.756732820145269,55.061397135574865
CL,2.5109297142823004,25.588021096012827,2.5328115493684153,25.654394400882637
ALL,5.446131787307871,197.95059231847165,5.421761609345044,192.9305952074116
HIG,4.751077170549647,43.99092167905963,4.868310818156703,45.33962535863425
LNC,8.476970488850078,191.5269237502519,8.62183153761809,193.04443055383135
MET,4.252645695604862,29.060683335703,4.371581202688991,30.07267280173357
PFG,6.312250680676885,91.15088842627667,6.425205196576862,92.45435482247169
PGR,11.722765956872164,410.3594690249749,11.665124893702863,399.11342739140696
ETSY,32.052339810100044,1849.730989259205,31.925349416827334,1754.5848631979543
OSTK,27.89628929040294,511.00488381224443,27.530714925803316,458.58512069941895
AMZN,17.017541737465493,599317.8952293013,16.943801375171844,581604.873780118
CHWY,9.540029296980958,484.21124830126604,9.515515619893193,455.271997921342
W,23.926566117336826,5519.063087355422,23.76422225479681,5183.740685611873
EBAY,7.79575084766959,66.58194635546225,7.738930890467605,64.17711491281996
APRN,29.970529391139646,737.1942067156795,30.026184966987252,682.7557555786422
TTWO,14.300495251205808,1729.7676367862116,14.29067020820232,1679.612416793933
TCEHY,12.293567492104446,233.32925980073404,12.263918341467363,228.66744743942738
ATVI,9.382393396499255,241.02387000699338,9.392057148635955,235.5058230003112
EA,7.323990770879296,471.3651714967882,7.3357530333727565,461.63127087741293
NTDOY,11.597126765058569,198.2175003398962,11.598027325832575,195.62529372395815
AMZN,17.017541737465493,599317.8952293013,16.943801375171844,581604.873780118
WMT,8.611779470730086,564.4921239008098,8.570548234338409,550.1347040107111
TGT,12.721083228906778,1027.181202290875,12.713568633319817,1004.4829124675041
COST,10.896433697868751,4973.919061670222,10.870039207161403,4874.621211797817
BJ,6.185662132289725,51.26919854472636,6.181662855742873,49.279641290927934
KR,5.5844097230967575,21.808900554275642,5.589166416045355,21.32160166697121
