Stock,Stability Coefficient (high),Variance (high),Stability Coefficient (close),Variance (close)
MMM,4.841887582597287,646.5893243761587,4.882152566542612,647.3387768404435
AOS,5.42857783632902,60.71165881000722,5.487062813822042,60.77464256539576
ALK,8.481109425771814,248.96605881872944,8.627079997674622,250.6437444464252
ALLE,6.989163630272468,301.9722908181968,6.975331566618516,294.86404176324555
AAL,12.409093118455392,154.03078425385013,12.576795944609156,153.1072478786127
AME,9.192738531883696,365.8291851481262,9.178772695458985,358.4551260612638
BA,13.602158795779415,9491.708167630779,13.665667240109121,9348.619438010337
CHRW,4.362352199055858,101.21654068162178,4.346583882212603,98.53678653198074
CARR,4.159228889733269,66.03082905107101,4.2321373467005525,65.95037546610318
CAT,8.293412999007597,826.1319537352699,8.289376390120355,807.9234615083249
CTAS,14.038344843896724,5607.491770369406,13.979187308582269,5459.097104227614
CPRT,17.998293324859983,803.6228688192994,17.963812781716364,784.1121063656309
CSX,11.108131172594872,37.27835569738051,11.116736370351774,36.566804253752906
CMI,6.63067411043431,854.8324696057786,6.628104846119707,837.0948410360252
DE,10.402568887739882,1745.3779736526176,10.37476692116059,1700.3321585480253
DAL,7.123071881850428,93.68472698094509,7.284115582229908,95.38859183813742
DOV,8.824656104722987,418.04589177733686,8.830412341091744,410.49829785169425
ETN,6.040094992771249,183.57977374430897,6.025593209126725,179.27474081520202
EMR,4.707305638136609,71.95645180350887,4.747740149073479,71.83735974062634
EFX,5.2645959386604195,380.9140321288025,5.25889788300983,373.08374590962586
EXPD,6.715901832966406,159.37452823217214,6.6794914261180605,154.84373603807634
FAST,9.429121247576072,62.33609646123488,9.420164191863597,60.89080454330284
FDX,7.897449824341613,1870.6164871063042,7.9114331221512035,1838.7631072686102
FTV,4.8784319000336,73.24536914888013,4.914959744862499,72.96426259572932
FBHS,6.277060529792227,113.23927113022552,6.315888241257775,112.18568739325433
GNRC,24.22022009058841,2302.5837560440086,24.112262784812913,2218.2080493911644
GD,5.263056261070519,675.6492360625491,5.306100848051056,674.9645376070971
GE,18.395414941977737,5028.394212622394,18.585404591720046,5021.3267956719465
HON,6.438332980422449,676.3666803079142,6.424412645816569,662.8181529303755
HWM,6.788157794002526,23.165432335911717,6.936218874499826,23.51419764149278
HII,6.39443847050241,1335.7365422199591,6.425775871150964,1319.3099551315445
IEX,8.906335192720165,1122.815434195089,8.88387299613188,1097.702959256687
INFO,10.649909648351313,260.58578981271046,10.633521267592354,255.15377567726807
ITW,6.682160268692402,776.0427964435252,6.6498067482694,755.2648727015501
IR,5.323096062893816,29.08777982451529,5.404211334569077,29.075581700700177
JBHT,5.855802739387869,302.1151039683088,5.847341558753054,294.7449746509363
J,8.871882469561266,303.2295670670222,8.859390229177594,295.97775603639525
JCI,4.033866070771187,20.23338109677697,4.109256145990434,20.580701386771587
KSU,9.153306445401363,926.1937897958742,9.117867497077052,898.5181421941679
LHX,10.161183360232702,1802.2387427768651,10.105626338138876,1747.6126804352195
LDOS,9.738189678397895,357.368695604853,9.687515245786692,346.50257412235453
LMT,6.302781963273981,3191.294577974582,6.257452349263732,3090.993519103993
MAS,6.812439408540443,57.85535326378856,6.814388723910534,56.68154572032013
NLSN,13.887802544524515,157.9858302198953,14.01051975440371,157.39225956816114
NSC,10.240957505391872,1911.6570896307653,10.24213046468733,1871.6018344031866
NOC,6.3834411368629995,2719.1608233454263,6.329783084394675,2623.3136230565706
ODFL,16.42568716640197,2043.8057244300926,16.381129140765136,1983.0683263288865
OTIS,1.6110203430774068,46.201475578202476,1.6970950732514636,49.69164235986783
PCAR,4.95362132632352,90.63942732308529,4.971493792864642,89.52316966209227
PH,7.466582195303507,1239.327952531234,7.478245654321202,1217.3136430105556
PNR,4.117758708780355,23.775485168048622,4.176538734881262,23.97109825635808
PWR,9.352001956255672,91.12183478627676,9.34281777506814,88.87042436667076
RTX,4.855887003515876,104.50502498142941,4.924651517106668,105.54297569045039
RSG,7.515449978836093,230.51248686132587,7.481760073631073,225.3220398501112
RHI,6.403193157921702,94.50117366747628,6.438558859676771,93.51192226132547
ROK,7.594325119668922,1325.500820615957,7.573158219915212,1290.8352214398415
ROL,11.2515017475234,50.59058134150445,11.18434418882996,49.051598677544476
ROP,10.014252586995749,6492.919693877823,9.963945205281329,6311.909946355115
SNA,2.9397289674442644,173.79108812591335,3.039888787821858,182.20396053709436
LUV,6.228755967674421,77.44962686504564,6.36445078251494,78.80647737687285
SWK,5.4015394902706095,449.80868235164854,5.436659840222147,446.446576571877
TDY,15.12829712666684,8489.406342969025,15.082302210582883,8258.853629112178
TXT,7.606789088181459,105.76211463511186,7.706738675285745,106.2170763531981
TT,10.608540307734556,556.6413131155962,10.56417455435203,541.1575268885886
TDG,11.58142818272167,14369.478068668612,11.569283545371064,13999.51948522426
UNP,9.25959245448781,1319.3261344404655,9.249159132908488,1290.5997223650656
UAL,10.156010406458561,365.1316962552165,10.3445354291035,367.7913811385957
UPS,5.430139482498138,311.7682883654491,5.408602594611448,304.13730683578194
URI,10.849766012430958,1591.6729037857112,10.900428508373457,1557.1694389985328
VRSK,11.320159529905679,1435.387181403498,11.26615969321047,1397.8655939658079
GWW,7.7307451985553834,3540.1150203712164,7.743219979937858,3471.6001928737037
WAB,5.576978465634436,149.62876166390652,5.666750450587926,150.69660378884984
WM,8.007857526540683,407.95635767517865,7.9718152695405475,398.59030802693064
XYL,8.05350056117825,230.38690256372857,8.030208782680647,224.6742499834063
ABT,11.50401568890473,466.95300857713477,11.460039864254448,455.05756318824365
ABBV,6.891968041825892,249.72715017343748,6.857356794357647,241.83532856351863
ABMD,15.861408720609514,9539.483100524898,15.790165008833515,9152.983880037087
A,9.467285363235657,331.19442247470073,9.44486781726668,323.5240279416329
ALGN,17.077584980803017,11368.532796802627,17.073815021633195,11018.946804205556
ABC,2.9885582556400765,55.352678590610566,2.9973910723084787,54.366337941121415
AMGN,5.450900127013917,855.5532179237777,5.423822538212115,830.4180374008981
ANTM,9.58312119095975,3790.999661028619,9.551550072219568,3679.5600964468526
BAX,8.225869673569743,246.7694114507546,8.198014712612006,240.95438858200953
BDX,5.891374784017562,1333.9766109761426,5.862526385285205,1297.8301831579274
BIO,14.477917681081667,13984.56439279399,14.404955196903117,13530.885189086344
TECH,12.567131287753567,3479.8553173982564,12.525329878858182,3374.3154640410744
BIIB,4.19273661188435,1179.023530095921,4.194803496595614,1149.9513836527058
BSX,8.545947398536445,58.91746975767341,8.523800293723992,57.41029181405508
BMY,4.1704258894425905,47.25425096920498,4.195966241394692,46.881808629190964
CAH,7.417338890003904,168.81782860350035,7.515597830873402,169.4968225318704
CTLT,15.396131365294728,390.5175678664396,15.346274710891958,377.6661867327919
CNC,9.531840563217129,186.93852643293843,9.531479668231546,181.92616673822215
CERN,4.031982660837506,53.51780771698596,4.046647743107222,52.8666319264467
CRL,12.251661237871943,1857.94133643445,12.226158045335863,1809.505700913473
CI,5.505708982110531,720.7047161894794,5.502907700047791,702.9984970452416
CVS,6.16201237515253,166.02393056188922,6.241911899751346,166.93700931311912
DHR,13.143414152389202,1888.0652784955996,13.078788992681059,1838.073509646134
DVA,6.1756646676808185,147.86711597476668,6.177800833561811,144.72831345380365
XRAY,5.721265534725595,75.39865917404066,5.818942732629663,76.34727498138629
DXCM,26.375919561582915,12649.59235675687,26.306625825561408,12112.237776688535
EW,12.33984000634466,332.42256559009354,12.311657736510725,323.33710211733495
LLY,9.611282050681218,803.3298163099363,9.54864557707716,777.699357844616
GILD,4.104593591219522,72.63544075375837,4.069567159973319,69.85249243284323
HCA,8.876068686003068,717.4854622224512,8.878410218900244,700.6382609957672
HSIC,2.9346467039411217,27.911734167253375,3.029233684020508,29.09619176827302
